Question,Predicted Answer,Actual Answer
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any backpack in image?,No,No
Are there any tv in image?,No,No
Is the plane in the foreground?,Yes,Yes
Is the road front the plane?,No,No
Is the color of the plane's body gray?,Yes,Yes
Are the wings of the plane gray?,Yes,Yes
Is the color of the propeller black?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any boat in image?,No,No
Are there any cat in image?,Yes,No
How many bowl in image?,1,0
Are there any bed in image?,No,No
Where are the contrails in relation to the plane?,Behind,Above
Are the trails below the plane?,No,No
Is the plane in the lower half of the image?,Yes,Yes
What color are the trails?,White,White
Is the sky blue?,Yes,No
Are the contrails white?,Yes,Yes
Is the airplane black?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any handbag in image?,No,No
Where is the airplane relative to the ferris wheel?,Above,Right
What is the color of the sky?,Blue,Blue
What is the color of the Ferris wheel?,Red,White
What is the color of the plane?,White,White
Is the color of the sky blue?,Yes,Yes
Is the color of the Ferris wheel white?,Yes,Yes
Is the color of the plane white?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
How many boat in image?,1,1
Are there any boat in image?,No,Yes
Are there any zebra in image?,No,No
How many backpack in image?,0,0
How many broccoli in image?,0,0
What is the position of the plane in the image?,Above,Above
Is the plane below the ship?,No,No
Is the ship in the water?,Yes,Yes
How many airplane in image?,1,5
Are there any airplane in image?,No,Yes
Are there any zebra in image?,No,No
How many baseball glove in image?,0,0
Are there any pizza in image?,No,No
Is the bottom-most plane in the image to the left of the center plane?,No,No
Is there a plane in the top right quadrant?,No,No
Is there a plane at the top of the image?,Yes,Yes
What is the color of the sky?,Blue,Blue
What color is the trim on the planes?,Red,Red
What color is the other part of the plane?,Blue,Blue
Is the sky blue?,Yes,Yes
Are the clouds white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
Are there any suitcase in image?,No,No
Where is the wing relative to the person?,Behind,Left
Is the man standing in the grass?,Yes,Yes
What color are the pants of the person?,Black,Black
What is the color of the shirt?,White,Yellow
What color is the grass?,Green,Green
Is the shirt yellow?,Yes,Yes
Are the pants black?,Yes,Yes
Is the grass green?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many bowl in image?,1,0
Are the propellers on the right side of the plane?,No,No
Are the tail fins at the bottom of the image?,Yes,Yes
What color are the wings of the plane?,White,White
What color is the snow on the ground?,White,White
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there trees on the bottom of the image?,Yes,Yes
What color are the trees?,Green,Green
What color is the sky?,Blue,White
What color is the plane?,White,Blue
Is the plane in the image blue?,Yes,Yes
How many airplane in image?,1,5
Are there any airplane in image?,No,Yes
Are there any fire hydrant in image?,No,No
How many wine glass in image?,1,0
Where is the Ryanair plane?,Above,Front
Is the tail of a Ryanair plane visible?,Yes,Yes
Is there an Austrian plane in the foreground?,Yes,Yes
Are there at least three planes visible?,Yes,Yes
What color are the stripes on the tail of the Austrian plane?,Red,Red
What color is the Ryanair plane?,White,White
What color are the vertical lines on the airport building?,White,Black
Is there a Ryanair plane in the image?,Yes,Yes
Are the stripes on the tail of the Austrian plane red?,Yes,Yes
Is there a plane with the tail in the image orange?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any sports ball in image?,No,No
Are there any baseball bat in image?,No,No
Are there any fork in image?,Yes,No
Are there any cake in image?,No,No
Are there any oven in image?,No,No
Are there any scissors in image?,Yes,No
What is the position of the plane relative to the tower?,Above,Above
Is the lighthouse above the plane?,No,No
What is the color of the sky?,Blue,Black
What is the color of the lighthouse?,White,White
What is the color of the plane?,White,White
Is the lighthouse white?,Yes,Yes
Does the plane have a color?,Yes,Yes
Is the sky dark?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any snowboard in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Is the bottle in behind of the window?,No,No
What is the color of the liquid in the bottle?,Brown,Red
What color is the bottle's lid?,Blue,Black
What color is the clothing?,Black,Blue
Is the lid of the bottle black?,Yes,Yes
Is the liquid in the bottle red?,Yes,Yes
Is the clothing blue?,Yes,Yes
How many person in image?,1,4
Are there any person in image?,Yes,Yes
Are there any baseball glove in image?,No,No
How many orange in image?,0,0
Where is Pfeiffer relative to Hairston?,Front,Left
Where is Markell relative to Hairston?,Behind,Right
Where is Hairston relative to the fence?,Behind,Behind
Is the firefighter named Pfeiffer on the right side of the image?,No,No
Is the firefighter named N.HAIRSTON in the middle?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any train in image?,No,No
Are there any traffic light in image?,No,No
Are there any dining table in image?,Yes,No
What is the color of the box in the background?,Brown,Black
Is the case in the background black?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
Are there any bird in image?,Yes,No
Are there any kite in image?,No,No
Are there any remote in image?,No,No
Where is the airplane compared to the mountains?,Above,Above
What is the position of the person on the right side of the stadium?,Left,Front
Is the plane below the trees?,No,No
Is the mountain below the plane?,No,No
What color are the seats?,Blue,Red
What color is the roof on the left?,Red,Red
What color is the sky?,Blue,Blue
Is the sky blue?,Yes,Yes
Are the seats green and blue?,No,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any fire hydrant in image?,No,No
Are there any baseball glove in image?,No,No
Are there any wine glass in image?,Yes,No
Are there any bowl in image?,Yes,No
Are there any keyboard in image?,No,No
Where is the road?,Below,Below
What color are the wings of the plane?,White,White
What color is the sky?,Blue,Blue
What color is the brick wall?,Red,Red
Is the sky blue?,Yes,Yes
Is the plane's body white?,Yes,Yes
Is the brick wall red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any fire hydrant in image?,No,No
Where is the airplane relative to the boy?,Behind,Front
Where is the aviator hat relative to the boy's head?,Above,Above
Is the brown scarf above the shirt?,No,No
Is the hat on the head?,Yes,Yes
What is the color of the scarf around the boy's neck?,Red,Red
What color are the boy's pants?,Blue,Red
What color is the shirt?,White,Blue
Is the scarf around the boy's neck red?,Yes,Yes
Is the shirt of the boy blue?,Yes,Yes
Are the pants red?,Yes,Yes
Are there any baseball bat in image?,No,No
How many knife in image?,1,1
Are there any knife in image?,Yes,Yes
What is the name of the object in the image?,person,knife
Are there any laptop in image?,No,No
Are there any clock in image?,Yes,No
Is the knife on top of the wood shavings?,Yes,Yes
What color is the handle of the knife?,Black,Brown
What is the color of the wood shavings?,Brown,Brown
Is the background color grey?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any snowboard in image?,No,No
How many apple in image?,0,0
Where is the plane located?,Above,Above
Where is the light pole located?,Left,Above
Is the plane below the lamppost?,No,No
What color is the railing?,Black,Black
What color is the sky?,Blue,White
Is the sky white?,Yes,Yes
Is the railing black?,Yes,Yes
Is the airplane white?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
Are there any surfboard in image?,No,No
How many cup in image?,1,0
How many orange in image?,0,1
Are there any orange in image?,No,Yes
How many carrot in image?,0,0
How many pizza in image?,0,0
How many microwave in image?,0,0
Where is the tower?,Behind,Right
Where is the plane?,Above,Above
Where is the sun?,Above,Left
Is the plane below the sun?,No,No
What color is the sun?,Yellow,Orange
What color is the tower?,Brown,Black
Is the sun orange?,Yes,Yes
Is the tower black?,Yes,Yes
Is the sky grey?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many tie in image?,0,1
Are there any tie in image?,No,Yes
Where are the hands in relation to the scarf?,Above,Above
Is the hat on the person's head?,Yes,Yes
Are the hands in behind of the scarf?,No,No
What colors are visible on the scarf?,Red,Blue
Is the hat maroon?,Yes,Yes
Is the jacket the same color as the hat?,Yes,Yes
Are the buttons on the jacket gold?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any sink in image?,No,No
Where are the waiting people?,Behind,Behind
Is the tower visible through the window?,Yes,Yes
Is there a person with luggage in the foreground?,Yes,Yes
What color are the lights in the ceiling?,White,Yellow
What color is the sky outside?,Blue,Orange
Is the sky in the background orange?,Yes,Yes
Are the support poles in the foreground metallic in color?,Yes,Yes
Are there any bicycle in image?,Yes,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any umbrella in image?,No,No
Are there any toilet in image?,No,No
Are there any scissors in image?,Yes,No
Where is the airplane?,Above,Above
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any spoon in image?,Yes,No
How many banana in image?,0,0
How many broccoli in image?,0,0
What is the position of the yellow pipe relative to the woman?,Right,Behind
"Where is ""Tie Down"" written?",Above,Below
Is the star located to the left of the woman?,No,No
Is the blue bar above the woman?,No,No
What is the color of the number on the left side?,Red,White
What is the color of the top worn by the woman?,Black,Black
What is the color of the star?,White,White
Is the top worn by the woman black?,Yes,Yes
Is the color of the star white?,Yes,Yes
Is the color of the helicopter dark green?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
Are there any stop sign in image?,No,No
How many cake in image?,1,0
Where is the plane in relation to the couple?,Above,Behind
What color is the plane?,White,White
What color is the shirt of the man?,White,White
What color is the skirt of the woman?,Black,White
Is the plane white?,Yes,Yes
Is the man's shirt white?,Yes,Yes
Is the skirt worn by woman white?,Yes,Yes
How many airplane in image?,1,3
Are there any airplane in image?,No,Yes
Are there any apple in image?,No,No
Are there any donut in image?,No,No
Are there any remote in image?,No,No
What is the position of the bottom plane compared to the middle plane?,Above,Below
What is the position of the middle plane compared to the top plane?,Above,Below
Is the highest plane closer to the top of the image than the middle plane?,Yes,Yes
Is the middle plane located between the highest and lowest plane?,Yes,Yes
What color are the plane's tails?,Red,Yellow
What is the color of the sky?,Blue,Blue
Is the sky blue?,Yes,Yes
Are the smoke trails gray?,Yes,Yes
Are the planes green?,Yes,Yes
How many airplane in image?,1,4
Are there any airplane in image?,No,Yes
Are there any train in image?,No,No
Are there any bird in image?,Yes,No
Are there any knife in image?,Yes,No
Is the top left plane to the right of the bottom left plane?,No,No
Are there 4 planes in the image?,Yes,Yes
What color is the sky?,Blue,Blue
What color are the stripes on the planes?,Red,Orange
What color is the plane?,White,Blue
Is the sky blue?,Yes,Yes
Are there yellow colors on the plane?,No,No
Is the plane green?,Yes,No
How many person in image?,1,5
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,0
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
How many truck in image?,1,1
Are there any truck in image?,Yes,Yes
Are there any handbag in image?,No,No
Are there any suitcase in image?,No,No
Are there any broccoli in image?,No,No
Where is the golf cart located relative to the plane?,Behind,Left
Where is the pick up truck located in the image?,Right,Right
Is the golf cart to the right of the airplane?,No,No
What color is the roof of the golf cart?,Red,Red
What color is the truck?,White,Green
Is the roof of the golf cart red?,Yes,Yes
Are the uniforms of the national guards gray?,Yes,Yes
Is the truck green?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many traffic light in image?,0,0
How many hot dog in image?,0,0
Where is the airplane in relation to the trees?,Above,Above
Is the plane in behind of the trees?,No,No
What color are the plane's wings?,White,Red
What color is the plane's body?,White,White
What color is the background?,Green,White
Is the tail fin of the plane red?,Yes,Yes
Is the plane's body red?,Yes,Yes
Are the plane's wings black?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Is the plane located in the center of the image?,Yes,Yes
Is the propeller at the top of the plane?,Yes,Yes
Is the tail of the plane at the bottom of the image?,Yes,Yes
What color is the airplane's tail?,Red,Black
What color are the clouds?,White,White
What color is the propeller?,Black,Red
Is the propeller red?,Yes,Yes
Is the airplane black?,Yes,No
Are the clouds white?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many fire hydrant in image?,0,0
How many snowboard in image?,0,0
Are there any dining table in image?,Yes,No
Where is the plane relative to the tower?,Above,Right
Where is the bird relative to the tower?,Above,Left
Is the building above the plane?,No,No
Is the plane to the left of the building?,No,No
What is the color of the tower's main body?,Blue,Brown
What is the color of the sky?,Blue,White
What color are the markings on the plane's tail?,Red,Orange
Is the main body of the tower reddish-brown?,Yes,Yes
Is the sky white?,Yes,Yes
Are the markings on the plane's tail orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any parking meter in image?,No,No
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Are there any oven in image?,No,No
Are there any clock in image?,Yes,No
Where is the plane located?,Above,Above
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many traffic light in image?,0,0
Are there any surfboard in image?,No,No
Are there any sink in image?,No,No
Is the building curved?,Yes,Yes
What color is the sky?,Blue,Blue
What color are the panels in the building?,Brown,Brown
What color is the airplane?,White,Black
Is the plane black?,Yes,Yes
Are the panels in the building brown?,Yes,Yes
Is the sky blue?,Yes,Yes
